model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_1_20250524_05956_model_115,0.6609247425940323,0.6325642614663185,0.5341792920935123,0.3913653574674982,0.4703184920393254,0.221199483954145
GBM_grid_1_AutoML_1_20250524_05956_model_126,0.6608931214566984,0.6322507126472301,0.5429775013600785,0.40627152557123,0.4703037145783796,0.221185583946222
GBM_grid_1_AutoML_1_20250524_05956_model_262,0.6608805991259593,0.6306800482880635,0.5439079768528229,0.4154104847042883,0.4695546884835257,0.2204816054768608
GBM_grid_1_AutoML_1_20250524_05956_model_78,0.6608520410047773,0.632229936854479,0.5439277504201763,0.3937663116871183,0.4702281968518799,0.2211145571145703
GBM_grid_1_AutoML_1_20250524_05956_model_178,0.6607098810198403,0.6307753555142236,0.5438483373412185,0.4183633223635313,0.4696652050773677,0.2205854048603659
GBM_grid_1_AutoML_1_20250524_05956_model_279,0.6606663681727397,0.6324490236287269,0.5423046874933724,0.4196516810102908,0.4702878736465034,0.2211706840989496
GBM_grid_1_AutoML_1_20250524_05956_model_242,0.6606494314951933,0.6315062332042246,0.543408119008673,0.4152933693808293,0.4698010707161566,0.2207130460460472
GBM_grid_1_AutoML_1_20250524_05956_model_76,0.6605283522684787,0.6319581834543435,0.5401183016851975,0.393576404685694,0.4700193187894211,0.2209181600352714
GBM_grid_1_AutoML_1_20250524_05956_model_246,0.6604317771709802,0.6323911393386135,0.5399860220745691,0.4113201869881272,0.4702551295901422,0.2211398869058414
GBM_grid_1_AutoML_1_20250524_05956_model_165,0.6600656566521053,0.630891929570494,0.5439366036247413,0.4098402096544467,0.4695599584025029,0.2204865545349602
GBM_grid_1_AutoML_1_20250524_05956_model_195,0.6600163781275422,0.6305313398240848,0.5478259563726133,0.3971432869947037,0.4694558863008649,0.2203888291825306
GBM_grid_1_AutoML_1_20250524_05956_model_112,0.6599863785869946,0.6328364729394543,0.539224142543578,0.4072493484334024,0.4701573988358707,0.221047979680112
GBM_grid_1_AutoML_1_20250524_05956_model_119,0.6598661101586732,0.6312497059024397,0.5465918265695721,0.4044083108637075,0.4698135659631646,0.2207247867630248
GBM_grid_1_AutoML_1_20250524_05956_model_173,0.6598049399243435,0.6315421616294195,0.537888179165596,0.4010011558381538,0.4698686729325896,0.2207765698034328
GBM_grid_1_AutoML_1_20250524_05956_model_190,0.6595563851724794,0.6316585113019525,0.5442899241545419,0.406198823981975,0.4698436870705876,0.2207530902800843
